id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
16688200,Capitol Hill apartment--perfect for inauguration!,Apartment,Entire home/apt,4,1,1,600.00,0.00,2,0,,flexible,
16776474,Walking Distance to Capitol Hill-safe neighborhood,House,Private room,2,1,1,349.00,0.00,2,0,,flexible,
13884452,Private Bedroom and Bath in Luxury Apartment!!,Apartment,Private room,2,1,1,100.00,10.00,3,5,96,moderate,0.52
18653426,"Lux 2BR on H Street w/pool, gym, wifi",Apartment,Entire home/apt,5,2,2,324.00,0.00,3,0,,moderate,
16822312,"Cozy, Charming Capitol Hill 2bd/1ba Condo",Condominium,Entire home/apt,6,1,2,500.00,0.00,2,0,,flexible,
1667080,Private & Comfortable NoMa Studio,Townhouse,Entire home/apt,2,1,0,120.00,0.00,2,123,98,moderate,2.87
15107421,"Modern, Cozy Studio in Capitol Hill",Other,Entire home/apt,4,1,0,79.00,10.00,1,26,95,flexible,3.63
16688753,Private Bedroom+Bath  Inauguration/Women's March,Apartment,Private room,2,1,1,429.00,0.00,2,0,,flexible,
5154288,Aban,House,Entire home/apt,6,1,3,136.00,20.00,1,60,92,flexible,3.11
3496871,1,Apartment,Private room,2,1,1,170.00,100.00,1,0,,flexible,
10069448,Apple Tree Inn,Bed & Breakfast,Private room,2,1,1,205.00,0.00,2,1,100,strict,0.09
9641861,"Beautiful, Private One Bedroom Apartment",Apartment,Entire home/apt,4,1,1,100.00,15.00,1,34,97,moderate,5.9
15080581,Wonk On The Hill Apartment,Apartment,Entire home/apt,4,1,1,135.00,10.00,4,40,100,flexible,5.17
16019301,Brand new english basement near D.C. hot spots,House,Entire home/apt,4,1,1,300.00,0.00,3,2,100,moderate,0.55
8166474,Eng. Basement - Capitol Hill,Apartment,Entire home/apt,3,1,1,90.00,0.00,4,6,97,moderate,0.42
5834173,3BR/2.5BA H St/Union Station home,Townhouse,Entire home/apt,6,2.5,3,318.00,0.00,1,38,99,strict,2.87
8987097,Beautiful Capitol Hill Brownstone,Townhouse,Entire home/apt,8,1,2,180.00,0.00,2,52,94,flexible,3.73
3219951,"Charming Capitol Hill Row House, Perfect Location",House,Entire home/apt,6,1.5,3,500.00,0.00,2,1,100,flexible,0.27
15948529,Elegant Room Near NOMA Metro & Union Station,Apartment,Private room,1,1,1,79.00,0.00,1,1,,flexible,0.17
16685731,3bdrm Townhouse Two Blocks from Capitol Building,Townhouse,Entire home/apt,8,2.5,3,1250.00,25.00,2,0,,strict,
14162540,Luxury Condo Adjacent to Capitol & Supreme Court,Condominium,Entire home/apt,2,1,1,174.00,0.00,2,14,99,strict,1.75
18389460,Full Apt in the H St neighborhood,Apartment,Entire home/apt,2,1,1,80.00,0.00,2,0,,flexible,
16488882,"Huge 4BR, short walk to Nat'l Mall, Union Station",House,Entire home/apt,14,3.5,4,2000.00,25.00,1,0,,flexible,
2343987,Bedroom in Capitol Hill row-house,House,Private room,2,1.5,1,50.00,25.00,2,216,94,flexible,5.53
7772529,Light Filled Home on the Hill,House,Entire home/apt,6,2,3,400.00,0.00,2,5,96,moderate,0.25
15803162,Walking Distance to Capitol; Townhouse,House,Entire home/apt,5,1.5,2,900.00,0.00,3,1,100,strict,0.28
1220231,Private room in the heart of H St,House,Private room,2,1.5,1,80.00,10.00,1,7,100,flexible,0.53
15343221,Newly Renovated! English basement,Apartment,Entire home/apt,4,1,1,180.00,20.00,2,22,100,strict,5.84
15769147,Affordable Luxury Capitol Hill Suite B,Apartment,Private room,4,1,1,85.00,20.00,1,10,98,strict,1.79
15703472,Chic 1BR; Metro & Convention Center,Apartment,Entire home/apt,3,1,1,145.00,25.00,1,8,98,strict,1.24
10923918,Blocks to the Capitol with parking and garden,Townhouse,Entire home/apt,2,1,1,130.00,0.00,4,17,98,moderate,1.27
16619513,Large Studio Near Capitol/Supreme CT,Apartment,Entire home/apt,2,1,0,100.00,0.00,3,0,,strict,
16390023,"One bedroom Capitol Hill apt, 3 blocks to Capitol",Apartment,Entire home/apt,4,1,1,300.00,0.00,2,0,,flexible,
