ID,name,sex,age,height,weight,team,year,season,city,sport,event,medal
356,Adlan Aliyevich Abdurashidov,M,26,172,60,Russia,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
383,Mojtaba Abedini Shormasti,M,31,180,83,Iran,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",NA
395,Jennifer Abel,F,24,160,62,Canada,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,NA
395,Jennifer Abel,F,24,160,62,Canada,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,NA
402,Arthur Abele,M,30,184,85,Germany,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
405,Jos Javier Abella Fanjul,M,22,176,66,Mexico,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
412,Tesfaye Abera Dibaba,M,24,192,68,Ethiopia,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
430,Matthew Duncan Abeysinghe,M,20,180,74,Sri Lanka,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,NA
431,Narek Abgaryan,M,24,166,52,Armenia,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,NA
433,Pablo Abin Vicen,M,31,177,68,Spain,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,NA
442,"Catherine ""Kate"" Abilla Awino",F,27,162,56,Kenya,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,NA
444,Camille Anne Franoise Abily,F,31,168,60,France,2016,Summer,Rio de Janeiro,Football,Football Women's Football,NA
446,Bode Abiodun,M,35,170,68,Nigeria,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,NA
451,Diana Monteiro Abla,F,21,175,75,Brazil,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,NA
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,NA
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
457,Thorine Christelle Aboa Mbeza,F,23,182,78,Cameroon,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,NA
465,"Matthew ""Matt"" Abood",M,30,197,92,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,NA
465,"Matthew ""Matt"" Abood",M,30,197,92,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
468,Abdelhalim Muhammad Abou,M,27,210,88,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
471,Ashraf Abou El-Hassan,M,41,186,86,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
494,Mamdouh Taha Al-Husseini Abouebaid,M,28,183,85,Egypt,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,NA
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25,188,87,Egypt,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",NA
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25,188,87,Egypt,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",NA
510,Melita Isidora Abraham Schssler,F,19,170,62,Chile,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,NA
511,Tadesse Abraham,M,33,178,61,Switzerland,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
533,Yelena Vasilyevna Abramchuk (Kopets-),F,28,182,95,Belarus,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,NA
551,Aliyah Abrams,F,19,163,53,Guyana,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
554,Benik Abramyan,M,31,186,115,Georgia,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,NA
563,Diogo Ferreira Tribolet de Abreu,M,22,183,73,Portugal,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,NA
574,rika Abril Surez,F,38,164,52,Colombia,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
578,Bourhan Abro,M,21,180,70,Djibouti,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,NA
579,Anastasiya Aleksandrovna Abrosimova,F,26,164,51,Russia,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,NA
583,Julien Absalon,M,35,180,68,France,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",NA
593,Methkal Marouf Abu Drais,M,32,168,67,Jordan,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
608,Ahmad Abughaush,M,20,178,68,Jordan,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
611,Mohammed Abukhousa,M,23,170,67,Palestine,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
613,Kariman Abuljadayel,F,22,180,70,Saudi Arabia,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,NA
650,Javier Carlos Acevedo,M,18,182,68,Canada,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,NA
650,Javier Carlos Acevedo,M,18,182,68,Canada,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
652,Nicole Jocelin Acevedo Tangarife,F,21,166,70,Colombia,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,NA
653,Sharon Evelin Acevedo Tangarife,F,23,170,61,Colombia,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,NA
658,Jaouad Achab,M,23,175,64,Belgium,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,NA
660,Karem Faride Achach Ramrez,F,25,169,60,Mexico,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
663,Sharath Kamal Achanta,M,34,186,85,India,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,NA
668,Gemma Acheampong,F,23,163,54,Ghana,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,NA
