id,listing_url,neighbourhood,neighbourhood_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
27584601,https://www.airbnb.com/rooms/27584601,Chinatown,Chinatown,Boston,MA,2111,42.3514717,-71.06085678,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace""}",249.00,250.00,59.00,2,$15.00 ,2,1125,4,8/12/2018,9/2/2018,100,10,10,10,10,10,9,moderate,4,3.53
27584770,https://www.airbnb.com/rooms/27584770,Chinatown,Chinatown,Boston,MA,2111,42.35181412,-71.06120068,Apartment,Entire home/apt,4,1,1,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",249.00,249.00,59.00,3,$15.00 ,2,1125,4,8/13/2018,9/13/2018,90,10,10,10,10,10,9,moderate,4,3.64
27590971,https://www.airbnb.com/rooms/27590971,North End,North End,Boston,MA,2113,42.36659112,-71.05543871,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Private living room"",""Hot water"",""Bed linens"",Refrigerator,Dishwasher,Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Step-free access"",""Host greets you""}",135.00,0.00,25.00,1,$35.00 ,2,7,2,8/20/2018,8/21/2018,100,10,8,10,10,10,10,moderate,1,2
27595884,https://www.airbnb.com/rooms/27595884,Allston-Brighton,Allston,Boston,MA,2134,42.34754177,-71.13624505,Apartment,Entire home/apt,6,1,2,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad}",1000.00,0.00,80.00,4,$10.00 ,2,1125,1,8/29/2018,8/29/2018,100,10,10,10,10,10,10,strict_14_with_grace_period,7,1
27598072,https://www.airbnb.com/rooms/27598072,Allston-Brighton,Allston,Boston,MA,2134,42.34690509,-71.13497285,Apartment,Entire home/apt,8,1,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",1000.00,0.00,80.00,6,$10.00 ,2,1125,0,,,,,,,,,,strict_14_with_grace_period,7,
27602176,https://www.airbnb.com/rooms/27602176,Back Bay,Back Bay,Boston,MA,2116,42.35097872,-71.07057327,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",Bathtub,""Room-darkening shades"",""Host greets you""}",249.00,,60.00,1,$0.00 ,1,30,2,8/18/2018,8/24/2018,100,10,10,10,9,10,10,flexible,1,2
27603003,https://www.airbnb.com/rooms/27603003,Charlestown,Charlestown,Somerville,MA,2145,42.3814037,-71.08022029,Apartment,Private room,2,1,1,1,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard""}",85.00,100.00,0.00,1,$25.00 ,2,1125,5,8/13/2018,8/24/2018,84,9,8,8,9,7,8,strict_14_with_grace_period,10,4.55
27606245,https://www.airbnb.com/rooms/27606245,Allston-Brighton,Allston,Boston,MA,2134,42.34746532,-71.13677321,Apartment,Entire home/apt,8,1,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",1000.00,0.00,80.00,4,$10.00 ,2,1125,0,,,,,,,,,,strict_14_with_grace_period,7,
27606782,https://www.airbnb.com/rooms/27606782,Allston-Brighton,Allston,Boston,MA,2134,42.34643941,-71.13494756,Apartment,Entire home/apt,8,1,2,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",1000.00,0.00,80.00,4,$10.00 ,2,1125,1,8/17/2018,8/17/2018,100,10,8,10,10,10,10,strict_14_with_grace_period,7,1
27607021,https://www.airbnb.com/rooms/27607021,Hyde Park,Hyde Park,Boston,MA,2136,42.24720161,-71.11855931,Guest suite,Entire home/apt,3,1,0,2,Real Bed,"{TV,Wifi,Pool,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water""}",85.00,100.00,50.00,1,$0.00 ,3,31,0,,,,,,,,,,moderate,1,
