id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price_gt_500
8225518,Live like a local in our spare room,House,Private room,2,1,1,44,0,1,31,93,moderate,1.56,FALSE
16614431,Contemporary Condo in Cap Hill.,Apartment,Entire home/apt,6,2,2,800,0,1,0,NA,flexible,NA,TRUE
13829389,Lovely room in Atlas District house,House,Private room,1,1,1,96,0,15,0,NA,strict,NA,FALSE
16453909,Two Bedroom House near the Capitol,House,Entire home/apt,5,1,2,225,0,1,1,100,strict,0.28,FALSE
14487985,DC Trinidad 2 - Suite,House,Private room,2,1,1,49,25,3,10,96,moderate,1.24,FALSE
16192269,2 Bedroom/1 Bath Apartment Close to H st.,Apartment,Entire home/apt,7,1,2,90,0,1,15,89,flexible,3.28,FALSE
791401,Comfy and Quiet 1 Bedroom,House,Private room,2,1,1,50,5,1,84,97,moderate,1.59,FALSE
1939655,"H Street Hip, Union Station Solid",Apartment,Entire home/apt,6,1,1,99,20,1,147,85,strict,3.62,FALSE
2528878,Warmly furnished private bedroom,House,Private room,2,1,1,65,0,2,83,96,moderate,2.3,FALSE
16389860,Entire Home in the Historic Trinidad Neighborhood,House,Entire home/apt,6,1,3,175,10,2,5,92,strict,1.15,FALSE
11966574,Comfy and Quiet 2nd Bdrm + Den + Private Bath,House,Private room,2,1,1,60,0,1,37,96,flexible,3.79,FALSE
15409061,Small Room in Quiet House,House,Private room,1,1,1,60,10,1,6,100,flexible,0.85,FALSE
15344029,"Washington, D.C. Gem",Condominium,Entire home/apt,4,2,2,150,25,2,11,95,strict,1.51,FALSE
11903747,1.5 miles to Capitol!,Apartment,Entire home/apt,6,1,0,99,25,2,22,95,moderate,1.64,FALSE
6924626,2B/1Ba - Cap Hill Area,Apartment,Entire home/apt,5,1,2,145,0,2,8,95,moderate,0.36,FALSE
13675092,Furnished Room,House,Private room,2,1,1,85,0,2,1,100,strict,0.1,FALSE
13577736,Unique DC Rowhome - One Block from H Street!,House,Entire home/apt,8,2.5,3,250,50,2,8,100,moderate,0.81,FALSE
14167667,DC 1 Bedroom Apt,Apartment,Entire home/apt,3,1,1,100,0,1,0,NA,flexible,NA,FALSE
6205219,Private Room near restaurants and public bus/metro,House,Private room,2,1,1,125,10,2,3,93,strict,0.15,FALSE
766006,Large Private Room in Beautiful DC Townhouse,House,Private room,2,2.5,2,90,10,2,93,94,strict,2.05,FALSE
16527890,DC-insider's Spacious and Trendy Private 1BR/1BA,Apartment,Private room,3,1,1,59,5,1,19,96,moderate,5,FALSE
11640293,"Spacious,Sunny and Family Friendly",Townhouse,Entire home/apt,12,3.5,4,320,20,2,25,94,strict,1.76,FALSE
16495786,Charming Rowhouse on H Street,House,Entire home/apt,6,1.5,2,1e3,0,2,0,NA,moderate,NA,TRUE
14824958,Large Bright room fridge&microwave & private bath,House,Private room,2,1,1,70,10,1,9,87,strict,1.17,FALSE
16135826,DC Luxury Apt-Overnight guest to share apt with,Apartment,Private room,1,1,1,980,0,1,0,NA,strict,NA,TRUE
14261875,Cozy Efficiency with Character,Apartment,Entire home/apt,2,1,0,77,0,1,69,83,strict,7.42,FALSE
5486834,Beautiful Trinidad home near H St,House,Entire home/apt,6,2,2,199,0,3,2,100,strict,0.08,FALSE
